sample	ancestry
6_5245	EUR
6_5253	EUR
6_5260	EUR
6_5268	EUR
6_5270	EUR
6_5283	EUR
6_5292	EUR
6_32113-0013	EUR
6_32113-0042	EUR
6_32113-0044	EUR
6_32113-0070	EUR
6_32113-0100	EUR
6_32113-0118	EUR
6_32113-0181	EUR
6_32113-0288	EUR
6_CD39-006	EUR
6_CD39-014	EUR
6_ST1DR060DNA	EUR
6_ST1DR079DNA	EUR
6_ST1DR085DNA	EUR
6_ST1DR095DNA	EUR
6_ST1DR101DNA	EUR
6_ST1DR110DNA	EUR
6_ST1DR124DNA	EUR
6_ST1DR125DNA	EUR
6_ST1DR136DNA	EUR
6_ST1DR141DNA	EUR
6_ST1DR152DNA	EUR
6_ST1DR162DNA	EUR
6_ST1DR163DNA	EUR
6_ST1DR358DNA	EUR
6_ST1DR368	EUR
6_ST1DR385DNA	EUR
6_ST1DR392DNA	EUR
6_ST1DR399DNA	EUR
6_ST1DR408DNA	EUR
6_ST1DR419DNA	EUR
6_ST1DR424DNA	EUR
6_ST1DR427DNA	EUR
6_ST1DR438DNA	EUR
6_ST1DR447DNA	EUR
6_ST1DR453DNA	EUR
6_ST1DR466DNA	EUR
6_ST1DR467DNA	EUR
6_ST1DR476DNA	EUR
6_ST1DR486DNA	EUR
6_ST1DR496DNA	EUR
6_ST1DR506DNA	EUR
7_2151-0044	EUR
7_2151-0111	EUR
7_2151-0117	EUR
7_2151-0197	EUR
7_2151-0299	EUR
7_2151-0342	EUR
7_2151-0348	EUR
7_2151-0371	EUR
7_5156	EUR
7_5177	EUR
7_5180	EUR
7_5204	EUR
7_5205	EUR
7_5216	EUR
7_5236	EUR
7_5237	EUR
7_5240	EUR
7_5249	EUR
7_5252	EUR
7_5264	EUR
7_5272	EUR
7_5287	EUR
7_32113-0032	EUR
7_32113-0108	EUR
7_32113-0199	EUR
7_CD39-007	EUR
7_CD39-015	EUR
7_HPAP090DNA	EUR
7_ST1DR071	EUR
7_ST1DR072DNA	EUR
7_ST1DR080DNA	EUR
7_ST1DR084DNA	EUR
7_ST1DR092DNA	EUR
7_ST1DR111DNA	EUR
7_ST1DR115DNA	EUR
7_ST1DR118DNA	EUR
7_ST1DR131DNA	EUR
7_ST1DR137DNA	EUR
7_ST1DR144DNA	EUR
7_ST1DR156DNA	EUR
7_ST1DR164DNA	EUR
7_ST1DR173DNA	EUR
7_ST1DR338	EUR
7_ST1DR351DNA	EUR
7_ST1DR386DNA	EUR
7_ST1DR393DNA	EUR
7_ST1DR403DNA	EUR
7_ST1DR411DNA	EUR
7_ST1DR416DNA	EUR
7_ST1DR432DNA	EUR
7_ST1DR437DNA	EUR
7_ST1DR443DNA	EUR
7_ST1DR444DNA	EUR
7_ST1DR459DNA	EUR
7_ST1DR477DNA	EUR
7_ST1DR488DNA	EUR
7_ST1DR490DNA	EUR
7_ST1DR498DNA	EUR
7_ST1DR507DNA	EUR
7_ST1DR508DNA	EUR
7_ST1DR510DNA	EUR
7_ST1DR516DNA	EUR
8_2151-0008	EUR
8_2151-0034	EUR
8_2151-0195	EUR
8_2151-0293	EUR
8_2151-0412	EUR
8_2151-0417	EUR
8_2151-0463	EUR
8_5157	EUR
8_5163	EUR
8_5194	EUR
8_5198	EUR
8_5212	EUR
8_5230	EUR
8_5234	EUR
8_5242	EUR
8_5246	EUR
8_5254	EUR
8_5263	EUR
8_5269	EUR
8_5277	EUR
8_5293	EUR
8_5300	EUR
8_32113-0062	EUR
8_32113-0073	EUR
8_32113-0120	EUR
8_32113-0333	EUR
8_CD39-008	EUR
8_CD39-016	EUR
8_HPAP091DNA	EUR
8_ST1DR073DNA	EUR
8_ST1DR081DNA	EUR
8_ST1DR086DNA	EUR
8_ST1DR097DNA	EUR
8_ST1DR103DNA	EUR
8_ST1DR112DNA	EUR
8_ST1DR126DNA	EUR
8_ST1DR139DNA	EUR
8_ST1DR142DNA	EUR
8_ST1DR159DNA	EUR
8_ST1DR169DNA	EUR
8_ST1DR361DNA	EUR
8_ST1DR371	EUR
8_ST1DR387DNA	EUR
8_ST1DR395DNA	EUR
8_ST1DR400DNA	EUR
8_ST1DR409DNA	EUR
8_ST1DR420DNA	EUR
8_ST1DR428DNA	EUR
8_ST1DR440DNA	EUR
8_ST1DR441DNA	EUR
8_ST1DR448DNA	EUR
8_ST1DR457DNA	EUR
8_ST1DR470DNA	EUR
8_ST1DR471DNA	EUR
8_ST1DR475DNA	EUR
8_ST1DR479DNA	EUR
8_ST1DR500DNA	EUR
8_ST1DR502DNA	EUR
8_ST1DR509DNA	EUR
8_ST1DR519DNA	EUR
8_ST1DR522DNA	EUR
8_ST1DR525DNA	EUR
